Placa,dia,Modelo,Odómetro Final,Odómetro Inicial,Distancia Diaria,Consumo Promedio [kWh/km],Energía [kWh],Costo Aproximado [$],kgCO2,Scoring,Nro. de Veloc.,Penalización Veloc.,Nro. de Acel.,Penalización Acel.,Nro. de Fren.,Penalización Fren.
A788AH,19/6/2024,BYD T018 SWB,"17,460.00","17,389.00",71,"0,824","58,53","152,18","25,17",100,0.0,0.0,0.0,0,0.0,0
A788AH,18/6/2024,BYD T018 SWB,"17,389.00","17,316.00",73,"0,824","60,18","156,47","25,88",100,0.0,0.0,1.0,0,0.0,0
A788AH,17/6/2024,BYD T018 SWB,"17,316.00","17,280.00",36,"0,824","29,68","77,17","12,76",100,0.0,0.0,0.0,0,0.0,0
A788AH,15/6/2024,BYD T018 SWB,"17,280.00","17,242.00",38,"0,824","31,33","81,46","13,47",100,0.0,0.0,0.0,0,0.0,0
A788AH,14/6/2024,BYD T018 SWB,"17,242.00","17,171.00",71,"0,824","58,53","152,18","25,17",100,0.0,0.0,0.0,0,0.0,0
A788AH,13/6/2024,BYD T018 SWB,"17,171.00","17,098.00",73,"0,824","60,18","156,47","25,88",100,0.0,0.0,1.0,0,0.0,0
A788AH,12/6/2024,BYD T018 SWB,"17,098.00","17,025.00",73,"0,824","60,18","156,47","25,88",100,0.0,0.0,0.0,0,0.0,0
A788AH,10/6/2024,BYD T018 SWB,"16,989.00","16,915.00",74,"0,824","61,01","158,63","26,23",100,0.0,0.0,0.0,0,0.0,0
A788AH,8/6/2024,BYD T018 SWB,"16,915.00","16,880.00",35,"0,824","28,85","75,01","12,41",100,0.0,0.0,1.0,0,1.0,0
A788AH,7/6/2024,BYD T018 SWB,"16,880.00","16,807.00",73,"0,824","60,18","156,47","25,88",100,0.0,0.0,0.0,0,0.0,0
A788AH,5/6/2024,BYD T018 SWB,"16,771.00","16,734.00",37,"0,824","30,5","79,3","13,12",100,0.0,0.0,0.0,0,0.0,0
A788AH,3/6/2024,BYD T018 SWB,"16,697.00","16,622.00",75,"0,824","61,83","160,76","26,59",100,0.0,0.0,1.0,0,1.0,0
A788AH,1/6/2024,BYD T018 SWB,"16,622.00","16,587.00",35,"0,824","28,85","75,01","12,41",100,0.0,0.0,1.0,0,1.0,0
A737AG,29/6/2024,BYD T45,"13,649.00","13,649.00",0,"0,386",0,0,0,,,,,,,
A737AG,31/7/2024,BYD T45,"15,594.00","15,558.00",36,"0,386","13,9","36,14","5,98",,,,,,,
A737AG,25/6/2024,BYD T45,"13,280.00","13,241.00",39,"0,386","15,06","39,16","6,48",,,,,,,
A737AG,30/8/2024,BYD T45,"17,520.00","17,520.00",0,"0,386",0,0,0,,,,,,,
A737AG,9/7/2024,BYD T45,"14,183.00","14,144.00",39,"0,386","15,06","39,16","6,48",,,,,,,
A737AG,31/8/2024,BYD T45,"17,520.00","17,520.00",0,"0,386",0,0,0,,,,,,,
A737AG,9/8/2024,BYD T45,"16,486.00","16,449.00",37,"0,386","14,29","37,15","6,14",,,,,,,
A737AG,12/7/2024,BYD T45,"14,512.00","14,474.00",38,"0,386","14,67","38,14","6,31",,,,,,,
A737AG,18/6/2024,BYD T45,"12,913.00","12,913.00",0,"0,386",0,0,0,,,,,,,
A737AG,15/6/2024,BYD T45,"12,913.00","12,913.00",0,"0,386",0,0,0,,,,,,,
A737AG,20/8/2024,BYD T45,"17,155.00","17,101.00",54,"0,386","20,85","54,21","8,97",,,,,,,
A737AG,17/6/2024,BYD T45,"12,913.00","12,913.00",0,"0,386",0,0,0,,,,,,,
A737AG,4/8/2024,BYD T45,"15,742.00","15,742.00",0,"0,386",0,0,0,,,,,,,
A737AG,22/6/2024,BYD T45,"13,148.00","13,148.00",0,"0,386",0,0,0,,,,,,,
A737AG,22/7/2024,BYD T45,"15,199.00","15,199.00",0,"0,386",0,0,0,,,,,,,
A737AG,29/8/2024,BYD T45,"17,520.00","17,408.00",112,"0,386","43,24","112,42","18,59",717.999.991.774.559,0.0,0.0,31.0,12.000.000.178.813.900,55.0,16.200.000.643.730.100
A737AG,28/8/2024,BYD T45,"17,408.00","17,408.00",0,"0,386",0,0,0,100,0.0,0.0,0.0,0,0.0,0
A737AG,26/8/2024,BYD T45,"17,408.00","17,285.00",123,"0,386","47,49","123,47","20,42",8.399.999.961.256.980,0.0,0.0,26.0,10.000.000.149.011.600,21.0,6.000.000.238.418.570
A737AG,23/8/2024,BYD T45,"17,285.00","17,278.00",7,"0,386","2,7","7,02","1,16",100,0.0,0.0,0.0,0,0.0,0
A737AG,22/8/2024,BYD T45,"17,278.00","17,250.00",28,"0,386","10,81","28,11","4,65",858.999.996.483.326,0.0,0.0,22.0,8.400.000.125.169.750,20.0,570.000.022.649.765
A737AG,21/8/2024,BYD T45,"17,250.00","17,155.00",95,"0,386","36,68","95,37","15,77",8.929.999.965.429.300,0.0,0.0,9.0,3.200.000.047.683.710,26.0,7.500.000.298.023.220
A737AG,19/8/2024,BYD T45,"17,101.00","17,025.00",76,"0,386","29,34","76,28","12,62",9.599.999.988.079.070,0.0,0.0,5.0,1.600.000.023.841.850,9.0,24.000.000.953.674.300
A737AG,15/8/2024,BYD T45,"17,025.00","16,851.00",174,"0,386","67,18","174,67","28,89",8.579.999.947.547.910,0.0,0.0,5.0,1.600.000.023.841.850,43.0,12.600.000.500.679.000
A737AG,14/8/2024,BYD T45,"16,851.00","16,740.00",111,"0,386","42,86","111,44","18,43",8.649.999.961.256.980,0.0,0.0,16.0,6.000.000.089.406.960,26.0,7.500.000.298.023.220
A737AG,13/8/2024,BYD T45,"16,740.00","16,623.00",117,"0,386","45,17","117,44","19,42",8.499.999.958.276.740,0.0,0.0,19.0,7.200.000.107.288.360,27.0,7.800.000.309.944.150
A737AG,12/8/2024,BYD T45,"16,623.00","16,528.00",95,"0,386","36,68","95,37","15,77",93.799.999.833.107,0.0,0.0,9.0,3.200.000.047.683.710,11.0,30.000.001.192.092.800
A737AG,10/8/2024,BYD T45,"16,528.00","16,486.00",42,"0,386","16,22","42,17","6,97",9.899.999.997.019.760,0.0,0.0,2.0,0.4000000059604645,3.0,0.6000000238418579
A737AG,8/8/2024,BYD T45,"16,449.00","16,319.00",130,"0,386","50,19","130,49","21,58",7.629.999.932.646.750,0.0,0.0,28.0,10.800.000.160.932.500,44.0,12.900.000.512.599.900
A737AG,7/8/2024,BYD T45,"16,319.00","16,198.00",121,"0,386","46,72","121,47","20,09",9.379.999.986.290.930,0.0,0.0,12.0,4.400.000.065.565.100,7.0,18.000.000.715.255.700
A737AG,6/8/2024,BYD T45,"16,198.00","15,960.00",238,"0,386","91,89","238,91","39,51",7.549.999.925.494.190,0.0,0.0,24.0,9.200.000.137.090.680,52.0,15.300.000.607.967.300
A737AG,5/8/2024,BYD T45,"15,960.00","15,742.00",218,"0,386","84,17","218,84","36,19",9.099.999.968.707.560,4.0,0.6000000089406967,4.0,12.000.000.178.813.900,25.0,7.200.000.286.102.290
A737AG,1/8/2024,BYD T45,"15,742.00","15,594.00",148,"0,386","57,14","148,56","24,57",8.369.999.957.084.650,0.0,0.0,23.0,8.800.000.131.130.210,26.0,7.500.000.298.023.220
A737AG,30/7/2024,BYD T45,"15,558.00","15,552.00",6,"0,386","2,32","6,03",1,9.959.999.999.403.950,0.0,0.0,2.0,0.4000000059604645,1.0,0
A737AG,26/7/2024,BYD T45,"15,552.00","15,466.00",86,"0,386","33,2","86,32","14,28",7.649.999.934.434.890,0.0,0.0,29.0,11.200.000.166.893.000,42.0,12.300.000.488.758.000
A737AG,25/7/2024,BYD T45,"15,466.00","15,395.00",71,"0,386","27,41","71,27","11,79",807.999.994.456.768,0.0,0.0,22.0,8.400.000.125.169.750,37.0,10.800.000.429.153.400
A737AG,24/7/2024,BYD T45,"15,395.00","15,300.00",95,"0,386","36,68","95,37","15,77",9.189.999.979.734.420,0.0,0.0,13.0,4.800.000.071.525.570,12.0,33.000.001.311.302.100
A737AG,23/7/2024,BYD T45,"15,300.00","15,199.00",101,"0,386",39,"101,4","16,77",7.209.999.924.898.140,0.0,0.0,37.0,14.400.000.214.576.700,46.0,13.500.000.536.441.800
A737AG,20/7/2024,BYD T45,"15,199.00","15,161.00",38,"0,386","14,67","38,14","6,31",9.769.999.992.847.440,0.0,0.0,3.0,0.800000011920929,6.0,15.000.000.596.046.400
