dia;Operador;Modelo;Placa;Odometro Final;Odometro Inicial;Distancia Diaria;energy;kWh/km
10/09/2024;DHL-Brasil;JAC IEV1200T PLUS;EMA3G24;19054;19002;52;NULL;NULL
10/09/2024;GRUPO MODELO;BYD T018 SWB;RE7115A;22503;22473;30;35,04;1,17
10/09/2024;SUPREME RESOURCES;BYD T018 SWB;A788AH;21488;21416;72;59,36;0,82
10/09/2024;UNILEVER;Fotón S3;LG02465;10823;10788;35;22,27;0,64
10/09/2024;METROBUS-L3;Yutong E18 ZK6180BEVG;1210276;233230;232952;278;359,98;1,29
10/09/2024;SIGMA ALIMENTOS;JAC E10X;28J438;62525;62421;104;16,33;0,16
10/09/2024;LALA;BYD T45;LG23190;2153;2119;34;20,53;0,6
10/09/2024;METROBUS-L3;Yutong E18 ZK6180BEVG;003A017;265701;265411;290;359,19;1,24
10/09/2024;BOSQUES DE SANTA FE;JAC EJ7;26F433;158721;158600;121;20;0,17
10/09/2024;LALA;BYD T45;LPESKB3B6N0000082;214;206;8;4,91;0,61
10/09/2024;LALA;JAC E10X;58J363;4646;4563;83;11,21;0,14
10/09/2024;CEMEX;Q3MA;13BA7R;12163;12064;99;NULL;NULL
10/09/2024;LALA;BYD T45;32J981;19372;19372;0;0;NULL
10/09/2024;LALA;BYD T45;31J772;10619;10586;33;23,2;0,7
10/09/2024;GRUPO MODELO;BYD T018 SWB;RE7704A;14752;14708;44;59,45;1,35
10/09/2024;LALA;BYD T45;LG23178;961;961;0;0;NULL
10/09/2024;LALA;BYD T45;31J780;22860;22861;0;0;NULL
10/09/2024;METROBUS-L3;Yutong E18 ZK6180BEVG;003A016;275280;274936;344;445,45;1,29
10/09/2024;BOSQUES DE SANTA FE;JAC EJ7;26F459;171037;170853;184;33,19;0,18
10/09/2024;METROBUS-L3;Yutong E18 ZK6180BEVG;003A015;276465;276214;251;310,89;1,24
10/09/2024;DEMOS;Skywell D11;45F111;26956;26956;0;0;NULL
10/09/2024;LALA;JAC E10X;58J037;7201;7106;95;11,93;0,13
10/09/2024;ANDESMAR;Nissan Leaf;AF640FM;9040;9018;22;NULL;NULL
10/09/2024;LALA;JAC E10X;58J362;2720;2697;23;2,38;0,1
10/09/2024;CEMEX;Q3MA;14BA7R;14240;181559;0;NULL;NULL
10/09/2024;LALA;JAC E10X;57J998;8132;8052;80;9,55;0,12
10/09/2024;MAXUS;AT EV 2.5;LSF1L2303PD200773;7737;7658;79;NULL;NULL
10/09/2024;ANDESMAR;Nissan Leaf;AF640FI;8639;8510;129;NULL;NULL
10/09/2024;GRUPO MODELO;BYD T018 SWB;RE7713A;25809;25759;50;58,4;1,17
10/09/2024;LALA;BYD T45;EU2193C;2409;2366;43;28,95;0,67
10/09/2024;GRUPO MODELO;BYD T018 SWB;RE7716A;29445;29394;51;60,73;1,19
10/09/2024;HEINEKEN;BYD T018 SWB;19194;15847;15800;47;49,51;1,05
10/09/2024;LIVERPOOL;FORD eTransit;35J480;34395;34304;91;20,73;0,23
10/09/2024;METROBUS-L3;Yutong E18 ZK6180BEVG;003A012;269493;269189;304;393,65;1,29
10/09/2024;METROBUS-L3;Yutong E18 ZK6180BEVG;003A009;268066;267802;264;326,99;1,24
10/09/2024;LALA;JAC E10X;38N094;2418;2343;75;9,18;0,12
10/09/2024;SIGMA ALIMENTOS;JAC E10X;28J439;52224;52143;81;10,94;0,14
10/09/2024;SUPREME RESOURCES;BYD T45;A737AG;18278;18124;154;59,46;0,39
10/09/2024;UNILEVER;Fotón S3;LG02452;10199;10156;43;22,96;0,53
10/09/2024;BOSQUES DE SANTA FE;JAC EJ7;42F134;134486;134276;210;36,82;0,18
